timestamp;accelerometer_x;accelerometer_y;accelerometer_z;gyroscope_x;gyroscope_y;gyroscope_z;magnetometer_x;magnetometer_y;magnetometer_z;
no_units;no_units;no_units;no_units;no_units;no_units;no_units;no_units;no_units;no_units;
;0.11597;1.2216;-0.00086975;-0.20936;-0.34905;-0.28785;215.7;223.75;-375.01;
;0.18991;1.274;0.016464;-0.33359;-0.42316;-0.28852;215.7;223.75;-375.01;
;0.26259;1.2918;0.039215;-0.48175;-0.4743;-0.26623;215.7;223.75;-375.01;
;0.33757;1.2887;0.07872;-0.61599;-0.44944;-0.20809;215.7;223.75;-375.01;
;0.33757;1.2887;0.07872;-0.71681;-0.35191;-0.11859;214.93;223.15;-374.33;
;0.38574;1.3324;0.14085;-0.80347;-0.22363;-0.02445;214.93;223.15;-374.33;
;0.4045;1.3287;0.13715;-0.90971;-0.072623;0.064715;214.93;223.15;-374.33;
;0.41072;1.3008;0.15735;-1.053;0.068626;0.17043;214.93;223.15;-374.33;
;0.39125;1.2541;0.17882;-1.238;0.033023;0.30308;214.17;221.61;-373.08;
;0.35577;1.1987;0.17957;-1.4309;-0.037689;0.43183;214.17;221.61;-373.08;
;0.28755;1.1582;0.19226;-1.619;-0.074643;0.54154;214.17;221.61;-373.08;
;0.20317;1.1166;0.2186;-1.7916;-0.024106;0.56465;214.17;221.61;-373.08;
;0.15395;1.0645;0.2159;-2.0036;-0.023875;0.54206;214.58;219.3;-371.05;
;0.11208;1.0079;0.16982;-2.3062;-0.098247;0.59257;214.58;219.3;-371.05;
;0.07373;0.97992;0.12402;-2.653;-0.14127;0.76339;214.58;219.3;-371.05;
;0.06572;0.98666;0.11247;-2.8993;-0.19815;0.96254;214.58;219.3;-371.05;
;0.036804;0.99181;0.13301;-2.9264;-0.48366;1.1317;214.68;215.34;-367.84;
;-0.029053;1.0012;0.19757;-2.7197;-0.72421;1.2708;214.68;215.34;-367.84;
;-0.067902;1.0264;0.28468;-2.4179;-1.0235;1.3841;214.68;215.34;-367.84;
